SKU,Descripcion,Categoria,Proveedor,PriceARS,StockQty
BLT002072V01,Juego Alicates Mini Portaherramientas Cinturon - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT002137LE,Maleta Robusta Vacia para 45 Pzs. - Knipex,Juegos y Sets,BlueTools,0,0
BLT0100020,Yunque Chico 3.5 kg - Barbero,Varios,BlueTools,0,0
BLT0100021,Yunque Mediano 7 kg - Barbero,Varios,BlueTools,0,0
BLT0100071,Morsa Banco Nro 1 - Barbero,Sujeción,BlueTools,0,0
BLT0100072,Morsa Banco Nro 2 - Barbero,Sujeción,BlueTools,0,0
BLT0100073,Morsa Banco Nro 3 - Barbero,Sujeción,BlueTools,0,0
BLT0100074,Morsa Banco Nro 4 - Barbero,Sujeción,BlueTools,0,0
BLT0100075,Morsa Banco Nro 5 - Barbero,Sujeción,BlueTools,0,0
BLT0100076,Morsa Banco Nro 6 - Barbero,Sujeción,BlueTools,0,0
BLT0100149,Morsa Banco Nro 8 - Barbero,Sujeción,BlueTools,0,0
BLT0100150,Morsa Banco Nro 4 con Yunque - Barbero,Sujeción,BlueTools,0,0
BLT0120A1,Soplete Accion Multiple Secado Rapido Aluminio x 1 - Premier,Soldadura,BlueTools,0,0
BLT0120A20,Soplete Accion Multiple Secado Rapido Aluminio x 20 - Premier,Soldadura,BlueTools,0,0
BLT0120A4,Soplete Accion Multiple Secado Rapido Aluminio x 4 - Premier,Soldadura,BlueTools,0,0
BLT0120B1,Soplete Accion Multiple Secado Rapido Blanco x 1 - Premier,Soldadura,BlueTools,0,0
BLT0120B20,Soplete Accion Multiple Secado Rapido Blanco x 20 - Premier,Soldadura,BlueTools,0,0
BLT0120B4,Soplete Accion Multiple Secado Rapido Blanco x 4 - Premier,Soldadura,BlueTools,0,0
BLT0120N1,Soplete Accion Multiple Secado Rapido Naranja Escolar x 1 - Premier,Soldadura,BlueTools,0,0
BLT0120N20,Soplete Accion Multiple Secado Rapido Naranja Escolar x 20 - Premier,Soldadura,BlueTools,0,0
BLT0120N4,Soplete Accion Multiple Secado Rapido Naranja Escolar x 4 - Premier,Soldadura,BlueTools,0,0
BLT0120V1,Soplete Accion Multiple Secado Rapido Verde x 1 - Premier,Soldadura,BlueTools,0,0
BLT0120V20,Soplete Accion Multiple Secado Rapido Verde x 20 - Premier,Soldadura,BlueTools,0,0
BLT0120V4,Soplete Accion Multiple Secado Rapido Verde x 4 - Premier,Soldadura,BlueTools,0,0
BLT0400340,Tuerca para Morsa Nro 3 - Nro 4 - Barbero,Bulonería,BlueTools,0,0
BLT0400341,Tuerca para Morsa Nro 5 - Nro 7-8 - Barbero,Bulonería,BlueTools,0,0
BLT0400363,Tuerca para Morsa Nro 1 - Barbero,Bulonería,BlueTools,0,0
BLT0400371,Tuerca para Morsa Nro 2 - Barbero,Bulonería,BlueTools,0,0
BLT100X125B,Mensula para Estante 100 x 125 mm Blanca - Duroll,Soportes,BlueTools,0,0
BLT100X125N,Mensula para Estante 100 x 125 mm Negra - Duroll,Soportes,BlueTools,0,0
BLT100X75B,Mensula para Estante 100 x 75 mm Blanca - Duroll,Soportes,BlueTools,0,0
BLT100X75N,Mensula para Estante 100 x 75 mm Negra - Duroll,Soportes,BlueTools,0,0
BLT101P,Manija Ministerio Bronce Roseta Chapa Pulido - Blt,Juegos y Sets,BlueTools,0,0
BLT101PL,Manija Minis Bronce Roseta Chapa Platil - Blt,Juegos y Sets,BlueTools,0,0
BLT106190,Pinza Universal 1000 v 190 mm - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT10637,Set Destornillador Pta Exagonal 13 Pzs 0.05-3/8 BS x 13 unid. - Bondhus,Destornilladores,BlueTools,0,0
BLT10699,Set Destornillador Pta Exagonal 9 Pzs 6-13 mm BS x 9 unid. - Bondhus,Destornilladores,BlueTools,0,0
BLT106P,Manija Ministeria Doble Balancin Aluminio Roseta Chapa Pulida - Blt,Juegos y Sets,BlueTools,0,0
BLT107P,Manija Biselada Doble Balancin Aluminio Roseta Chapa Pulida - Blt,Juegos y Sets,BlueTools,0,0
BLT10920,"Llave Allen L 7/8"" - Bondhus",Llaves,BlueTools,0,0
BLT10921,"Llave Allen L 1"" - Bondhus",Llaves,BlueTools,0,0
BLT10937,Set Llave Allen 050-3/8 BL x 13 - Bondhus,Llaves,BlueTools,0,0
BLT10938,Set Llave Allen 1/16-1/4 BL x 10 - Bondhus,Llaves,BlueTools,0,0
BLT10989,Set Llave Allen 1.27-17 mm MBL x 13 Caja Metalica - Bondhus,Llaves,BlueTools,0,0
BLT10991,Llave Allen L M -22 - Bondhus,Llaves,BlueTools,0,0
BLT10992,Set Llave Allen 1.5-6 mm BL x 7 - Bondhus,Llaves,BlueTools,0,0
BLT10993,Llave Allen L M -24 - Bondhus,Llaves,BlueTools,0,0
BLT10995,Set Llave Allen 1.27-10 mm BL x 15 - Bondhus,Llaves,BlueTools,0,0
BLT10999,Set Llave Allen 1.5-10 mm BL x 9 - Bondhus,Llaves,BlueTools,0,0
BLT10F,Boquilla Tobera Arco Fijo 360 Nro 3.0 mt - Hunter,Varios,BlueTools,0,0
BLT10ROJO,Boquilla Tobera Ps Ultra Rojo - Hunter,Varios,BlueTools,0,0
BLT11000TF,Grupo Electrogeno 11000W Max Trif - Kushiro,Varios,BlueTools,0,0
BLT1100350600,Remaches Aluminio 3.5 x 6 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100350800,Remaches Aluminio 3.5 x 8 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100351000,Remaches Aluminio 3.5 x 10 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100351200,Remaches Aluminio 3.5 x 12 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100351400,Remaches Aluminio 3.5 x 14 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100351600,Remaches Aluminio 3.5 x 16 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100351900,Remaches Aluminio 3.5 x 19 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100352500,Remaches Aluminio 3.5 x 25 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100353000,Remaches Aluminio 3.5 x 30 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100400600,Remaches Aluminio 4 x 6 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100400800,Remache Aluminio 4 x 8 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100401000,Remaches Aluminio 4 x 10 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100401200,Remaches Aluminio 4 x 12 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100401400,Remaches Aluminio 4 x 14 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100401600,Remaches Aluminio 4 x 16 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100401900,Remaches Aluminio 4 x 19 mm x 1000 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100402500,Remaches Aluminio 4 x 25 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100403000,Remaches Aluminio 4 x 30 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100500800,Remaches Aluminio 5 x 8 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100501000,Remaches Aluminio 5 x 10 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100501200,Remaches Aluminio 5 x 12 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100501400X1,Remaches Aluminio 5 x 14 mm x 1 unid. - Dewalt,Bulonería,BlueTools,0,0
BLT1100501600,Remaches Aluminio 5 x 16 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100502000,Remache Aluminio 5 x 20 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100502500,Remaches Aluminio 5 x 25 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100502800,Remaches Aluminio 5 x 28 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100503000,Remaches Aluminio 5 x 30 mm x 500 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100503500,Remaches Aluminio 5 x 35 mm x 300 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100504000,Remaches Aluminio 5 x 40 mm x 250 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100504500,Remaches Aluminio 5 x 45 mm x 250 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100505000,Remaches Aluminio 5 x 50 mm x 250 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100600800,Remaches Aluminio 6 x 8 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100601000,Remaches Aluminio 6 x 10 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100601200,Remaches Aluminio 6 x 12 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100601400,Remaches Aluminio 6 x 14 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100601600,Remaches Aluminio 6 x 16 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100602000,Remaches Aluminio 6 x 20 mm x 400 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1100602500,Remaches Aluminio 6 x 25 mm - Argenrap,Bulonería,BlueTools,0,0
BLT1100603000,Remaches Aluminio 6 x 30 mm x 200 unid. - Argenrap,Bulonería,BlueTools,0,0
BLT1101K,Llave Armario Twinkey - Knipex,Varios,BlueTools,0,0
BLT1106160,Pinza Pelacable 1000 v 160 mm - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT111125,Guante Cuero Descarne Amarillo Puño Tejido - Blt,Varios,BlueTools,0,0
BLT11250,Viruta Fina 250 gr - La Hacendosa,Varios,BlueTools,0,0
BLT11331,Set Llave Torx TL x 8 T6-T25 Larga Punta Bola - Bondhus,Llaves,BlueTools,0,0
BLT12125,"Llave Allen L 1 1/4"" - Bondhus",Llaves,BlueTools,0,0
BLT12129,"Llave Allen L 1 1/2"" - Bondhus",Llaves,BlueTools,0,0
BLT12196,Llave Allen L M -32 - Bondhus,Llaves,BlueTools,0,0
BLT12198,Llave Allen L M -36 - Bondhus,Llaves,BlueTools,0,0
BLT12250,Viruta Mediana 250 gr - La Hacendosa,Varios,BlueTools,0,0
BLT1242195,Pelacable Multistrip 195 mm - Knipex,Varios,BlueTools,0,0
BLT12587,Gorilla Grip 2 - 8 mm - Bondhus,Varios,BlueTools,0,0
BLT12589,"Gorilla Grip 5/64 - 1/4"" - Bondhus",Varios,BlueTools,0,0
BLT125X150B,Mensula para Estante 125 x 150 mm Blanca - Duroll,Soportes,BlueTools,0,0
BLT125X150N,Mensula para Estante 125 x 150 mm Negra - Duroll,Soportes,BlueTools,0,0
BLT1262180,Alicate Pela Cable Automatico - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT12632,Gorilla Grip T6-T25 - Bondhus,Varios,BlueTools,0,0
BLT12902,"Llave Allen L 0.050"" - Bondhus",Llaves,BlueTools,0,0
BLT12903,"Llave Allen L 1/16"" - Bondhus",Llaves,BlueTools,0,0
BLT12904,"Llave Allen L 5/64"" - Bondhus",Llaves,BlueTools,0,0
BLT12905,"Llave Allen L 3/32"" - Bondhus",Llaves,BlueTools,0,0
BLT12906,"Llave Allen L 7/64"" - Bondhus",Llaves,BlueTools,0,0
BLT12907,"Llave Allen L 1/8"" - Bondhus",Llaves,BlueTools,0,0
BLT12908,"Llave Allen L 9/64"" - Bondhus",Llaves,BlueTools,0,0
BLT12909,"Llave Allen L 5/32"" - Bondhus",Llaves,BlueTools,0,0
BLT12910,"Llave Allen L 3/16"" - Bondhus",Llaves,BlueTools,0,0
BLT12911,"Llave Allen L 7/32"" - Bondhus",Llaves,BlueTools,0,0
BLT12912,"Llave Allen L 1/4"" - Bondhus",Llaves,BlueTools,0,0
BLT12913,"Llave Allen L 5/16"" - Bondhus",Llaves,BlueTools,0,0
BLT12914,"Llave Allen L 3/8"" - Bondhus",Llaves,BlueTools,0,0
BLT12915,"Llave Allen L 7/16"" - Bondhus",Llaves,BlueTools,0,0
BLT12916,"Llave Allen L 1/2"" - Bondhus",Llaves,BlueTools,0,0
BLT12917,"Llave Allen L 9/16"" - Bondhus",Llaves,BlueTools,0,0
BLT12918,"Llave Allen L 5/8"" - Bondhus",Llaves,BlueTools,0,0
BLT12919,"Llave Allen L 3/4"" - Bondhus",Llaves,BlueTools,0,0
BLT12949,Llave Allen L M 1.27 mm - Bondhus,Llaves,BlueTools,0,0
BLT12950,Llave Allen L M 1.50 mm - Bondhus,Llaves,BlueTools,0,0
BLT12952,Llave Allen L M 2 mm - Bondhus,Llaves,BlueTools,0,0
BLT12954,Llave Allen L M 2.5 mm - Bondhus,Llaves,BlueTools,0,0
BLT12956,Llave Allen L M 3 mm - Bondhus,Llaves,BlueTools,0,0
BLT12958,Llave Allen L M 3.5 mm - Bondhus,Llaves,BlueTools,0,0
BLT12960,Llave Allen L M 4 mm - Bondhus,Llaves,BlueTools,0,0
BLT12962,Llave Allen L M 4.5 mm - Bondhus,Llaves,BlueTools,0,0
BLT12964,Llave Allen L M 5 mm - Bondhus,Llaves,BlueTools,0,0
BLT12966,Llave Allen L M 5.5 mm - Bondhus,Llaves,BlueTools,0,0
BLT12968,Llave Allen L M 6 mm - Bondhus,Llaves,BlueTools,0,0
BLT12970,Llave Allen L M 7 mm - Bondhus,Llaves,BlueTools,0,0
BLT12972,Llave Allen L M 8 mm - Bondhus,Llaves,BlueTools,0,0
BLT12974,Llave Allen L M 9 mm - Bondhus,Llaves,BlueTools,0,0
BLT12976,Llave Allen L M 10 mm - Bondhus,Llaves,BlueTools,0,0
BLT12978,Llave Allen L M 11 mm - Bondhus,Llaves,BlueTools,0,0
BLT12980,Llave Allen L M 12 mm - Bondhus,Llaves,BlueTools,0,0
BLT12982,Llave Allen L M 13 mm - Bondhus,Llaves,BlueTools,0,0
BLT12984,Llave Allen L M 14 mm - Bondhus,Llaves,BlueTools,0,0
BLT12986,Llave Allen L M 17 mm - Bondhus,Llaves,BlueTools,0,0
BLT12988,Llave Allen L M 19 mm - Bondhus,Llaves,BlueTools,0,0
BLT12AVERDE,Boquilla Tobera Ps Ultra Verde - Hunter,Varios,BlueTools,0,0
BLT12F,Boquilla Tobera Arco Fijo 360 Nro 3.7 mt - Hunter,Varios,BlueTools,0,0
BLT13109,"Llave Allen T 5/32"" - Bondhus",Llaves,BlueTools,0,0
BLT13110,"Llave Allen T 3/16"" - Bondhus",Llaves,BlueTools,0,0
BLT13111,"Llave Allen T 7/32"" - Bondhus",Llaves,BlueTools,0,0
BLT13112,"Llave Allen T 1/4"" - Bondhus",Llaves,BlueTools,0,0
BLT13113,"Llave Allen T 5/16"" - Bondhus",Llaves,BlueTools,0,0
BLT13114,"Llave Allen T 3/8"" - Bondhus",Llaves,BlueTools,0,0
BLT13160,Llave Allen T M 4 mm - Bondhus,Llaves,BlueTools,0,0
BLT13164,Llave Allen T M 5 mm - Bondhus,Llaves,BlueTools,0,0
BLT13168,Llave Allen T M 6 mm - Bondhus,Llaves,BlueTools,0,0
BLT13172,Llave Allen T M 8 mm - Bondhus,Llaves,BlueTools,0,0
BLT13176,Llave Allen T M 10 mm - Bondhus,Llaves,BlueTools,0,0
BLT13189,Set Llave T BT x 80M/S 2 - 10 mm - Bondhus,Llaves,BlueTools,0,0
BLT13190,"Set Llave T BT x 10/S 3/32 - 3/8"" - Bondhus",Llaves,BlueTools,0,0
BLT13205,"Llave Allen T 3/32"" - Bondhus",Llaves,BlueTools,0,0
BLT13206,"Llave Allen T 7/64"" - Bondhus",Llaves,BlueTools,0,0
BLT13207,"Llave Allen T 1/8"" - Bondhus",Llaves,BlueTools,0,0
BLT13208,"Llave Allen T 9/64"" - Bondhus",Llaves,BlueTools,0,0
BLT13250,Viruta Gruesa 250 gr - La Hacendosa,Varios,BlueTools,0,0
BLT13252,Llave Allen T M 2 mm - Bondhus,Llaves,BlueTools,0,0
BLT13254,Llave Allen T M 2.5 mm - Bondhus,Llaves,BlueTools,0,0
BLT13256,Llave Allen T M 3 mm - Bondhus,Llaves,BlueTools,0,0
BLT13546,Set Destornillador Torx T6-T10 Ballstar - Bondhus,Destornilladores,BlueTools,0,0
BLT1386200,Alicate para Instalacion Electricas - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT1386200SB,Pinza Multifuncion 1000 v 200 mm - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT1426160,Alicate Corte Diagonal - Knipex,Pinzas y Alicates,BlueTools,0,0
BLT15000023,Bola Goma Espuma para Limpieza 60 mm - Blt,Pinturas,BlueTools,0,0
BLT150119,Piedra Circular 150 x 19 mm Grano 60 - Tyrolit,Varios,BlueTools,0,0
BLT1501G1,Soplete Accion Multiple Secado Rapido Gris x 1 - Premier,Soldadura,BlueTools,0,0
BLT1501G20,Soplete Accion Multiple Secado Rapido Gris x 20 - Premier,Soldadura,BlueTools,0,0
BLT1501G4,Soplete Accion Multiple Secado Rapido Gris x 4 - Premier,Soldadura,BlueTools,0,0
BLT1501N1,Soplete Accion Multiple Secado Rapido Negro x 1 - Premier,Soldadura,BlueTools,0,0
BLT1501N20,Soplete Accion Multiple Secado Rapido Negro x 20 - Premier,Soldadura,BlueTools,0,0
BLT1501N4,Soplete Accion Multiple Secado Rapido Negro x 4 - Premier,Soldadura,BlueTools,0,0
BLT1501NC1,Soplete Accion Multiple Secado Rapido Negro Chasis x 1 - Premier,Soldadura,BlueTools,0,0
BLT1501NC20,Soplete Accion Multiple Secado Rapido Negro Chasis x 20 - Premier,Soldadura,BlueTools,0,0
BLT1501NC4,Soplete Accion Multiple Secado Rapido Negro Chasis x 4 - Premier,Soldadura,BlueTools,0,0
BLT1501T1,Soplete Accion Multiple Secado Rapido Traful x 1 - Premier,Soldadura,BlueTools,0,0
BLT1501T20,Soplete Accion Multiple Secado Rapido Traful x 20 - Premier,Soldadura,BlueTools,0,0
BLT1501T4,Soplete Accion Multiple Secado Rapido Traful x 4 - Premier,Soldadura,BlueTools,0,0
BLT150X200B,Mensula para Estante 150 x 200 mm Blanca - Duroll,Soportes,BlueTools,0,0
BLT150X200N,Mensula para Estante 150 x 200 mm Negra - Duroll,Soportes,BlueTools,0,0
